,Team 1,Team 2,Team 1 Score,Team 2 Score,Winner,Date
0,LOUD,FNATIC,2,3,FNATIC,"Sat, March 4, 2023"
1,Team tarik,Team FRTTT,10,13,Team FRTTT,"Sat, March 4, 2023"
2,Natus Vincere,FNATIC,0,3,FNATIC,"Fri, March 3, 2023"
3,LOUD,DRX,3,2,LOUD,"Thu, March 2, 2023"
4,100 Thieves,FNATIC,0,2,FNATIC,"Mon, February 27, 2023"
5,Natus Vincere,Leviatán,2,0,Natus Vincere,"Mon, February 27, 2023"
6,FNATIC,FURIA,2,0,FNATIC,"Sun, February 26, 2023"
7,FUT Esports,100 Thieves,1,2,100 Thieves,"Sun, February 26, 2023"
8,Leviatán,Team Vitality,2,0,Leviatán,"Sat, February 25, 2023"
9,Team Secret,Natus Vincere,0,2,Natus Vincere,"Sat, February 25, 2023"
10,T1,FURIA,0,2,FURIA,"Fri, February 24, 2023"
11,Sentinels,FNATIC,0,2,FNATIC,"Fri, February 24, 2023"
12,100 Thieves,EDward Gaming,2,1,100 Thieves,"Thu, February 23, 2023"
13,FUT Esports,Rex Regum Qeon,2,0,FUT Esports,"Thu, February 23, 2023"
14,Team Vitality,Global Esports,2,1,Team Vitality,"Thu, February 23, 2023"
15,ZETA DIVISION,Leviatán,0,2,Leviatán,"Wed, February 22, 2023"
16,Natus Vincere,KRÜ Esports,2,0,Natus Vincere,"Wed, February 22, 2023"
17,Team Liquid,Team Secret,0,2,Team Secret,"Wed, February 22, 2023"
18,DRX,Talon Esports,2,1,DRX,"Sun, February 19, 2023"
19,NRG Esports,LOUD,1,2,LOUD,"Sun, February 19, 2023"
20,Evil Geniuses,Talon Esports,0,2,Talon Esports,"Sat, February 18, 2023"
21,DRX,Cloud9,2,1,DRX,"Sat, February 18, 2023"
22,LOUD,Karmine Corp,2,0,LOUD,"Fri, February 17, 2023"
23,NRG Esports,Giants Gaming,2,1,NRG Esports,"Fri, February 17, 2023"
24,Gen.G,LOUD,0,2,LOUD,"Wed, February 15, 2023"
25,MIBR,Talon Esports,0,2,Talon Esports,"Wed, February 15, 2023"
26,Team Heretics,Evil Geniuses,0,2,Evil Geniuses,"Wed, February 15, 2023"
27,Cloud9,Paper Rex,2,0,Cloud9,"Tue, February 14, 2023"
28,BBL Esports,DRX,1,2,DRX,"Tue, February 14, 2023"
29,FunPlus Phoenix,Karmine Corp,1,2,Karmine Corp,"Tue, February 14, 2023"
30,DetonatioN FocusMe,Giants Gaming,0,2,Giants Gaming,"Mon, February 13, 2023"
31,KOI,NRG Esports,0,2,NRG Esports,"Mon, February 13, 2023"
